국가,방한 외래관광객,전년동기 관광객,전년대비 증감률,구성비,순위
코트디부아르,675.0,536.0,25.9,0.0,124
유고슬라비아,638.0,579.0,10.2,0.0,125
카메룬,616.0,647.0,-4.8,0.0,126
도미니카연방,614.0,530.0,15.8,0.0,127
파푸아뉴기니,595.0,283.0,110.2,0.0,128
부탄,578.0,549.0,5.3,0.0,129
콩고민주공화국,576.0,479.0,20.3,0.0,130
니카라과,565.0,508.0,11.2,0.0,131
볼리비아,520.0,539.0,-3.5,0.0,132
몰도바,510.0,339.0,50.4,0.0,133
세네갈,466.0,501.0,-7.0,0.0,134
수단,431.0,415.0,3.9,0.0,135
미크로네시아,384.0,240.0,60.0,0.0,136
아르메니아,383.0,311.0,23.2,0.0,137
부룬디,382.0,388.0,-1.5,0.0,138
그레나다,357.0,284.0,25.7,0.0,139
세인트 루치아,353.0,252.0,40.1,0.0,140
감비아,353.0,205.0,72.2,0.0,140
잠비아,326.0,320.0,1.9,0.0,142
서사모아,310.0,393.0,-21.1,0.0,143
몰디브,281.0,272.0,3.3,0.0,144
아프가니스탄,278.0,410.0,-32.2,0.0,145
보츠와나,277.0,236.0,17.4,0.0,146
보스니아ㆍ헤르체고비나,267.0,245.0,9.0,0.0,147
바하마,260.0,115.0,126.1,0.0,148
팔레스타인,259.0,201.0,28.9,0.0,149
모잠비크,252.0,240.0,5.0,0.0,150
국적미상,245.0,241.0,1.7,0.0,151
쿠바,236.0,196.0,20.4,0.0,152
마케도니아,213.0,92.0,131.5,0.0,153
가이아나,208.0,272.0,-23.5,0.0,154
마샬군도,199.0,120.0,65.8,0.0,155
바누아투,194.0,202.0,-4.0,0.0,156
나미비아,184.0,149.0,23.5,0.0,157
말라위,182.0,210.0,-13.3,0.0,158
앤티가 바부다,180.0,173.0,4.0,0.0,159
앙골라,179.0,286.0,-37.4,0.0,160
에스와티니,174.0,232.0,-25.0,0.0,161
솔로몬군도,166.0,133.0,24.8,0.0,162
가봉,165.0,213.0,-22.5,0.0,163
바베이도스,164.0,122.0,34.4,0.0,164
베냉,164.0,118.0,39.0,0.0,164
라이베리아,156.0,162.0,-3.7,0.0,166
기니,155.0,136.0,14.0,0.0,167
말리,144.0,133.0,8.3,0.0,168
코소보,142.0,138.0,2.9,0.0,169
팔라우,142.0,106.0,34.0,0.0,169
토고,137.0,135.0,1.5,0.0,171
아이티,135.0,109.0,23.9,0.0,172
수리남,129.0,92.0,40.2,0.0,173
통가,125.0,132.0,-5.3,0.0,174
세인트 빈센트 그레나딘,124.0,204.0,-39.2,0.0,175
부르키나 파소,119.0,113.0,5.3,0.0,176
시에라리온,112.0,91.0,23.1,0.0,177
키리바시,110.0,212.0,-48.1,0.0,178
안도라,100.0,62.0,61.3,0.0,179
리히텐슈타인,100.0,76.0,31.6,0.0,179
세이셸,100.0,97.0,3.1,0.0,179
벨리즈,95.0,80.0,18.8,0.0,182
투발루,84.0,75.0,12.0,0.0,183
콩고,83.0,75.0,10.7,0.0,184
적도 기니,79.0,89.0,-11.2,0.0,185
영국교포,79.0,71.0,11.3,0.0,185
레소토,75.0,76.0,-1.3,0.0,187
모리타니,60.0,91.0,-34.1,0.0,188
모나코,59.0,53.0,11.3,0.0,189
카보베르데,58.0,53.0,9.4,0.0,190
남수단공화국,53.0,33.0,60.6,0.0,191
나우루,52.0,54.0,-3.7,0.0,192
중앙아프리카공화국,40.0,46.0,-13.0,0.0,193
소말리아,36.0,48.0,-25.0,0.0,194
산마리노,33.0,29.0,13.8,0.0,195
차드,30.0,32.0,-6.2,0.0,196
코모로,30.0,27.0,11.1,0.0,196
에리트레아,30.0,25.0,20.0,0.0,196
니제르,27.0,25.0,8.0,0.0,199
지부티,21.0,27.0,-22.2,0.0,200
기니비사우,14.0,17.0,-17.6,0.0,201
상투메 프린시페,10.0,3.0,233.3,0.0,202
토켈라우,6.0,0.0,,0.0,203
홍콩거주난민,4.0,6.0,-33.3,0.0,204
기타 유럽,1.0,2.0,-50.0,0.0,205
바티칸,0.0,1.0,-100.0,0.0,206
영국령 인도양지역,0.0,5.0,-100.0,0.0,206
노퍽섬,0.0,3.0,-100.0,0.0,206
뉴칼레도니아,0.0,1.0,-100.0,0.0,206
영국령 버진군도,0.0,0.0,,,206
