0,1,2
날짜,통화명,월평균 매매기준율
2017.09,미국 달러 (USD),1131.59
2017.10,미국 달러 (USD),1131.57
2017.11,미국 달러 (USD),1105.04
2017.12,미국 달러 (USD),1085.78
2018.01,미국 달러 (USD),1066.70
2018.02,미국 달러 (USD),1079.58
2018.03,미국 달러 (USD),1071.89
2018.04,미국 달러 (USD),1067.76
2018.05,미국 달러 (USD),1076.39
2018.06,미국 달러 (USD),1092.80
2018.07,미국 달러 (USD),1122.80
2018.08,미국 달러 (USD),1121.15
2018.09,미국 달러 (USD),1120.60
2018.10,미국 달러 (USD),1130.81
2018.11,미국 달러 (USD),1128.58
2018.12,미국 달러 (USD),1122.90
2019.01,미국 달러 (USD),1122.00
2019.02,미국 달러 (USD),1122.45
2019.03,미국 달러 (USD),1130.72
2019.04,미국 달러 (USD),1140.95
2019.05,미국 달러 (USD),1183.29
2019.06,미국 달러 (USD),1175.62
2019.07,미국 달러 (USD),1175.31
2019.08,미국 달러 (USD),1208.98
2019.09,미국 달러 (USD),1197.55
2019.10,미국 달러 (USD),1184.13
2019.11,미국 달러 (USD),1167.45
2019.12,미국 달러 (USD),1175.84
2020.01,미국 달러 (USD),1164.28
2020.02,미국 달러 (USD),1193.79
2020.03,미국 달러 (USD),1220.09
2020.04,미국 달러 (USD),1225.23
2020.05,미국 달러 (USD),1228.67
2020.06,미국 달러 (USD),1210.01
2020.07,미국 달러 (USD),1198.90
2020.08,미국 달러 (USD),1186.85
2020.09,미국 달러 (USD),1178.80
2020.10,미국 달러 (USD),1144.68
2020.11,미국 달러 (USD),1116.76
2020.12,미국 달러 (USD),1095.13
2021.01,미국 달러 (USD),1097.49
2021.02,미국 달러 (USD),1111.72
2021.03,미국 달러 (USD),1131.02
2021.04,미국 달러 (USD),1119.40
2021.05,미국 달러 (USD),1123.28
2021.06,미국 달러 (USD),1121.30
2021.07,미국 달러 (USD),1143.98
2021.08,미국 달러 (USD),1160.34
2021.09,미국 달러 (USD),1169.54
2021.10,미국 달러 (USD),1182.82
2021.11,미국 달러 (USD),1182.91
2021.12,미국 달러 (USD),1183.70
2022.01,미국 달러 (USD),1194.01
2022.02,미국 달러 (USD),1198.34
2022.03,미국 달러 (USD),1221.03
2022.04,미국 달러 (USD),1232.34
2022.05,미국 달러 (USD),1269.88
2022.06,미국 달러 (USD),1277.35
2022.07,미국 달러 (USD),1307.40
2022.08,미국 달러 (USD),1318.44
2022.09,미국 달러 (USD),1391.59
2022.10,미국 달러 (USD),1426.66
2022.11,미국 달러 (USD),1364.10
2022.12,미국 달러 (USD),1296.22
2023.01,미국 달러 (USD),1247.25
2023.02,미국 달러 (USD),1270.74
2023.03,미국 달러 (USD),1305.73
2023.04,미국 달러 (USD),1320.01
2023.05,미국 달러 (USD),1328.21
2023.06,미국 달러 (USD),1296.71
2023.07,미국 달러 (USD),1286.30
2023.08,미국 달러 (USD),1318.47
2023.09,미국 달러 (USD),1329.47
2023.10,미국 달러 (USD),1350.69
2023.11,미국 달러 (USD),1310.39
2023.12,미국 달러 (USD),1303.98
2024.01,미국 달러 (USD),1323.57
2024.02,미국 달러 (USD),1331.74
2024.03,미국 달러 (USD),1330.70
2024.04,미국 달러 (USD),1367.83
2024.05,미국 달러 (USD),1365.39
2024.06,미국 달러 (USD),1380.13
2024.07,미국 달러 (USD),1383.38
2024.08,미국 달러 (USD),1354.15
2024.09,미국 달러 (USD),1334.82
2024.10,미국 달러 (USD),1361.00
2024.11,미국 달러 (USD),1393.38
2024.12,미국 달러 (USD),1434.42
2025.01,미국 달러 (USD),1455.79
2025.02,미국 달러 (USD),1445.56
2025.03,미국 달러 (USD),1456.95
2025.04,미국 달러 (USD),1444.31
2025.05,미국 달러 (USD),1394.49
2025.06,미국 달러 (USD),1366.95
2025.07,미국 달러 (USD),1375.22
2025.08,미국 달러 (USD),1389.66
2025.09,미국 달러 (USD),1391.83
2025.10,미국 달러 (USD),1423.36
