국적별,2014년09월,2014년10월,2014년11월,2014년12월,2015년01월,2015년02월,2015년03월,2015년04월,2015년05월,2015년06월,2015년07월,2015년08월,2015년09월,2015년10월,2015년11월,2015년12월,2016년01월,2016년02월,2016년03월,2016년04월,2016년05월,2016년06월,2016년07월,2016년08월,2016년09월,2016년10월,2016년11월,2016년12월,2017년01월,2017년02월,2017년03월,2017년04월,2017년05월,2017년06월,2017년07월,2017년08월,계
,인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명),인원(명)
피  지,256,317,212,253,422,139,204,209,285,269,213,359,360,313,230,243,488,152,174,218,229,349,306,289,288,285,242,297,357,174,169,190,258,263,197,269,9478
대양주 기타,157,136,177,88,120,67,96,150,215,117,153,161,99,301,168,167,76,102,138,144,289,310,273,346,328,312,262,121,168,124,133,177,253,229,180,138,6475
아프리카주,3977,4815,3402,2460,2427,2876,3391,4100,4070,3364,3171,4525,4539,5288,3867,2907,3094,3718,3976,3999,6338,4664,5587,6413,5537,5881,4544,3575,3601,4340,4243,3927,3950,3203,4188,4965,148922
남아프리카 공화국,1076,1036,562,513,913,855,702,893,885,729,657,1221,915,1169,629,621,960,964,783,915,1134,1119,1377,1638,1413,1110,921,986,1133,1244,981,915,808,624,843,1166,34410
나이지리아,237,336,285,226,146,196,309,207,281,313,252,379,317,420,370,232,204,243,218,200,739,248,304,260,273,250,243,153,175,251,263,187,220,290,253,319,9799
이집트,744,637,657,549,358,443,637,658,714,520,462,637,843,902,660,632,518,591,803,692,972,531,842,640,728,866,675,548,443,560,750,616,587,441,745,762,23363
아프리카주 기타,1920,2806,1898,1172,1010,1382,1743,2342,2190,1802,1800,2288,2464,2797,2208,1422,1412,1920,2172,2192,3493,2766,3064,3875,3123,3655,2705,1888,1850,2285,2249,2209,2335,1848,2347,2718,81350
기 타,25693,27202,22985,23813,19154,18287,25669,25299,25597,18046,18937,21839,24450,27973,22463,23018,18442,17964,25192,25126,24535,24019,21979,22871,24943,26146,23186,22824,19483,17141,24867,23828,23445,22754,21069,22484,822723
교포,25652,27134,22922,23742,19115,18244,25611,25246,25552,17997,18899,21811,24404,27940,22435,22939,18390,17892,25130,25061,24488,23953,21917,22819,24878,26096,23149,22765,19428,17084,24786,23735,23380,22691,21016,22438,820739
미상,41,68,63,71,39,43,58,53,45,49,38,28,46,33,28,79,52,72,62,65,47,66,62,52,65,50,37,59,55,57,81,93,65,63,53,46,1984
전 체,1245777,1317482,1117398,1086569,917054,1050706,1238144,1384567,1334212,750925,629737,1069314,1206764,1383704,1150074,1116450,1077431,1126250,1389399,1469674,1492680,1554413,1703495,1664303,1523928,1587797,1309055,1343398,1220695,1252080,1233640,1075899,977889,991802,1008671,1103506,44104882
